title,abstract,year,tokens
From Model-based to Model and Simulation-based Systems Architectures—Achieving Quality Engineering through Descriptive and Analytical Models,"ABSTRACT Systems architecture design is a key activity that affects the overall systems engineering cost. Hence it is fundamental to ensure that the system architecture reaches a proper quality. In this paper, we leverage model-based systems engineering (MBSE) approaches and complement them with simulation techniques, as a promising way to improve the quality of the system architecture definition, and to come up with innovative solutions while securing the systems engineering process.",2023,"key activity affect overall cost . hence fundamental ensure reach proper quality . , leverage model-based ( ) complement technique , promising way improve quality definition , come innovative solution securing ."
Models as enablers of agility in complex systems engineering,"Abstract Complex systems engineering programs not only deal with the inherent complexity of the systems they develop, they also face shorter time-to-market, increasing changes in environments and usages, and more sophisticated industrial schemes. The ability to adapt to new circumstances, or agility, becomes mandatory. In this paper we present how Model-Based Systems Engineering (MBSE) approaches can be enablers of the implementation of agility in complex systems engineering programs. Known to provide additional engineering rigor and quality, MBSE also brings key concepts favoring agility and co-engineering.",2020,"program deal inherent develop , face shorter time-to-market , increasing change environment usage , sophisticated industrial scheme . ability adapt new circumstance , agility , becomes mandatory . present model-based ( ) enablers implementation agility program . known provide additional rigor quality , brings key concept favoring agility co-engineering ."
5.5.2 Efficient and Effective Systems Integration and Verification Planning Using a Model-Centric Environment,"Abstract There is an increasing interest in Model-Based Systems Engineering (MBSE) practices in academia and industry. The majority of research and adoption in industry is relevant to the early phases of the system life-cycle, where model-based design is expected to provide improved results during system development. However, little attention has been paid to the application of such methodology to later phases of the development, and in particular to system integration and verification of the actual manufactured system, which continues to be done in the traditional document-centric environment. This paper proposes a model-centric environment for system integration and verification activities at the end of the development cycle and presents benefits in effectiveness and efficiency in planning system integration and verification activities for a system under a model-centric environment.",2013,"increasing interest model-based ( ) practice academia industry . majority research adoption industry relevant early phase life-cycle , model-based expected provide improved result . , little attention paid application methodology later phase , particular integration verification actual manufactured , continues done traditional document-centric environment . proposes model-centric environment integration verification activity end cycle present benefit effectiveness efficiency planning integration verification activity model-centric environment ."
Architecture Design of Nuclear Power Plants Systems through Viewpoints-based Systems Analysis,"Abstract This paper presents a method to perform the architecture definition and design of Nuclear Power Plants (NPP) systems. This method is based on the viewpoints concept and on an existing Model-Based Systems Engineering (MBSE) approach that was tailored to address the complexity factors of NPP engineering, progressively guarantee the comprehensiveness of the design and facilitate the safety assessment. This paper also provides an illustration of how this method was applied to define the architecture of a Nuclear Island system, provides valuable findings for the designer organization regarding the deployment of MBSE approaches and presents their key benefits and future improvement actions.",2018,"present perform definition nuclear power plant ( npp ) . viewpoint concept existing model-based ( ) tailored address factor npp , progressively guarantee comprehensiveness facilitate safety assessment . provides illustration applied define nuclear island , provides valuable finding designer organization regarding deployment present key benefit future improvement action ."
"Knowledge Capture, Cross Boundary Communication and Early Validation with Dynamic A3 Architectures","Abstract Understanding and extracting systems information is a time consuming, demanding and expensive process. Complicating factors are cross-boundary communication methods and tools. We combine an informal and formal systems engineering method; Lean manufacturing principles and Model Based systems Engineering (MBSE) resulting in Dynamic A3 architecture. Dynamic A3 Architecture is a hierarchy of overviews from super-system to sub-system that the reader can navigate through active links. We applied the method to a lube oil system of a gas turbine package. We found that Dynamic A3 Architecture can ease internal and cross boundary communication, train new employees, facilitate knowledge capture, and share common understanding of the “system of interest”. A functional sequence diagram, which is a hybrid of a state and functional diagram, can assist in early validation of process applications.",2013,"understanding extracting time consuming , demanding expensive . complicating factor cross-boundary communication . combine informal formal ; lean manufacturing principle ( ) resulting dynamic . dynamic hierarchy overview super-system sub-system reader navigate active link . applied lube oil gas turbine package . found dynamic ease internal cross boundary communication , train new employee , facilitate knowledge capture , share common understanding “ interest ” . functional sequence diagram , hybrid state functional diagram , assist early validation application ."
6.1.3 Model-based Technical Planning: An evaluation of description techniques,"Abstract As model-based systems engineering (MBSE) gains ground as a real alternative for complex industrial projects compared to the traditional plan or document-driven systems engineering paradigm, several challenges remain to be dealt with. MBSE requires not only the technological system-of-interest to be included in the common model repository used for MBSE, but also other elements and structures that are used to describe vital aspects of a complex technical project. This paper elaborates on how the primary planning document, the Systems Engineering Plan (SEP) can be evolved from the document-driven to the model-driven paradigm, and how some SysML diagram types along with architecture framework viewpoints may be used to model the most common content of a SEP. The evaluation is based on industrial experiences using MBSE in real-world industrial development and procurement projects. Several examples on how SysML may be used to represent SEP elements are presented along with suggestions on potential directions for further work.",2009,"model-based ( ) gain ground real alternative industrial compared traditional plan document-driven paradigm , several challenge remain dealt . requires technological system-of-interest included common repository , element structure describe vital aspect technical . elaborates primary planning document , plan ( sep ) evolved document-driven model-driven paradigm , diagram type along viewpoint may common content sep. evaluation industrial experience real-world industrial procurement . several may represent sep element presented along suggestion potential direction work ."
Whose Line is it Anyway? Using MBSE in the Management and Acceptance of the Defence Lines of Development,"Abstract As we continue to apply Systems Engineering and Model Based Approaches to the acquisition of complex and closely coupled systems, the ability to map, analyse and manage the interfaces across all the component elements of a capability presents a significant challenge. This paper provides an overview of the application of a Model Based Systems Engineering Approach to a case study, supported by the Whole-of-System Analytical Framework (WSAF), to manage the integration and acceptance of the Defence Lines of Development (DLOD) and its application to a case study in the United Kingdom (UK) defence acquisition domain. The approach seeks to provide the ability to conduct analysis of DLOD elements down to a significant level of granularity, including the inter- and intra-DLOD dependencies. The aim being to provide a comprehensive, consistent and systematic view of the DLODs across a complex and disparate stakeholder landscape. This supports the ability to manage the integration and acceptance of the DLODs which, when successfully effected, deliver military capability.",2017,"continue apply acquisition closely coupled , ability map , analyse manage interface across component element capability present significant challenge . provides overview application case study , supported whole-of-system analytical ( wsaf ) , manage integration acceptance defence line ( dlod ) application case study united kingdom ( uk ) defence acquisition domain . seek provide ability conduct dlod element significant level granularity , including inter- intra-dlod dependency . aim provide comprehensive , consistent systematic view dlods across disparate stakeholder landscape . support ability manage integration acceptance dlods , successfully effected , deliver military capability ."
Distributed Design of Computer Based Systems: Methodology,"Abstract The distributed design of computer based systems requires a methodology that supports both the modeling of the distributed system and the ability to assess the impact of requirements and engineering change while the system is at any stage of development. Model Based Systems Engineering, MBSE, provides an approach to these twined problems with the advantages of tailorability to application, culture, notations, and tools. It is critical that traceability linkages be constructed in the normal course of engineering development and that they be adequate for an analysis of the impact of change.",1993,"distributed computer requires methodology support distributed ability ass impact change stage . , , provides twined problem advantage tailorability application , culture , notation , . critical traceability linkage constructed normal course adequate impact change ."
A Model-based Reference Architecture for Medical Device Development,"Abstract The application of systems engineering within the medical device domain must adapt to its unique challenges such-as the regulatory environment that these devices have to be designed within to ensure patient safety, and the nature of the interactions between the device and the patient. The sheer number of regulations imposed by government agencies such as the U.S. Food and Drug Administration and various international agencies adds to the complexity of designing these systems. This also presents an opportunity to implement a Model-Based Systems Engineering (MBSE) approach to capture the regulatory environment and map those specialized requirements to components within the system that address those requirements. In this study, we present a model of a reference architecture that can be used as a starting point for the system design of medical devices. Although the state of the model has not been fully matured, this approach offers the potential to more efficiently address the complex regulatory requirements, and reduce the time to design medical devices.",2012,"application medical device domain must adapt unique challenge such-as regulatory environment device designed ensure patient safety , nature interaction device patient . sheer number regulation imposed government agency u.s. food drug administration various international agency add designing . present opportunity implement model-based ( ) capture regulatory environment map specialized component address . study , present reference starting point medical device . although state fully matured , offer potential efficiently address regulatory , reduce time medical device ."
SUBSEA OIL PRODUCTION: THE DESIGN BASIS,"ABSTRACT The origination of the design basis document for subsea production systems (SPS) in the oil industry is a challenging task. The completeness and correctness of the design basis is crucial for the successful execution of the project in safety, technical, and commercial terms. This work aims to establish, through systems engineering and through information models (model-based systems engineering (MBSE)), how the SPS design basis should be optimally developed. The MBSE is integrated into this work by the theory of transactional processing, which is implicit in the universal thought process when using behavioral models but seldom explicitly referred to. The current industry practice for developing an SPS design basis is compared to the suggested optimal process. The work constitutes the foundation for the revised design basis issuing procedure and the design review practice for the Aker Solutions worldwide subsea business. This work is part of a PhD at the Norwegian University of Science and Technology.",2017,"origination basis document subsea production ( sps ) oil industry challenging task . completeness correctness basis crucial successful execution safety , technical , commercial term . work aim establish , ( model-based ( ) ) , sps basis optimally developed . integrated work theory transactional processing , implicit universal thought behavioral seldom explicitly referred . current industry practice developing sps basis compared suggested optimal . work constitutes foundation revised basis issuing procedure review practice aker solution worldwide subsea business . work part phd norwegian university science technology ."
6.1.2 Generating SysML Views from an OPM Model: Design and Evaluation,"Abstract Conceptual modeling is key to Model-Based Systems Engineering (MBSE) approaches. OPM – Object-Process Methodology and SysML – OMG Systems Modeling Language are two state-of-the-art conceptual modeling languages. While both languages aim at the same purpose of providing a means for general-purpose systems engineering, these languages take different approaches in realizing this goal. As each of the languages has its relative strengths and weaknesses, ways to create synergies between them are considered in this work. We propose combining advantages of each language through automatic generation of SysML views from an OPM model. To this end, we developed a new algorithm and software application for implementing the OPM-to-SysML views generation, and evaluated the results through an experiment conducted for this purpose. Our approach can benefit various stakeholders by promoting better system understanding, standardization, and improved interoperability.",2009,"conceptual key model-based ( ) . opm – object-process methodology – omg two state-of-the-art conceptual . aim purpose providing mean general-purpose , take different realizing goal . relative strength weakness , way create synergy considered work . propose combining advantage automatic generation view opm . end , developed new algorithm software application implementing opm-to-sysml view generation , evaluated result experiment conducted purpose . benefit various stakeholder promoting better understanding , standardization , improved interoperability ."
4.3.2 Systems of Innovation II: The Emergence of Purpose,"Abstract Engineers design mindful of the purpose of a system. So, engineering conceptual definitions of the concept of “system” frequently include the idea of purpose. However, we also use “system” to describe things not human-designed. We might refer to purpose in living systems, as in the immune system, but biologists use “function” to avoid this. What about inanimate natural systems? Do Saturn's rings have a purpose, or function? And what about pathologies, when systems don't work as they “should”? Do all these “systems” terms and concepts serve us well across these different domains, or are some force-fit? Using the language of Model-Based Systems Engineering (MBSE) and Pattern-Based Systems Engineering (PBSE), this paper describes a framework in which “system” and “purpose” emerge at different levels, apply uniformly, naturally, or not at all, and inform. The framework is the Systems of Innovation (SOI) Pattern. Practical benefits include insights into the nature of innovation across these domains, improving ability to perform innovative systems engineering.",2013,"engineer mindful purpose . , conceptual definition concept “ ” frequently include idea purpose . , “ ” describe thing human-designed . might refer purpose living , immune , biologist “ function ” avoid . inanimate natural ? saturn ring purpose , function ? pathology , work “ ” ? “ ” term concept serve u across different domain , force-fit ? model-based ( ) pattern-based ( pbse ) , describes “ ” “ purpose ” emerge different level , apply uniformly , naturally , , inform . innovation ( soi ) pattern . practical benefit include insight nature innovation across domain , improving ability perform innovative ."
4.2.2 Application of Systems Engineering to Improve Extracorporeal Membrane Oxygenation (ECMO) Therapy,"Abstract Though able to boost survival rates from below 25\% to nearly 75\% in patients that qualify for treatment, the complexity of the currently implemented Extracorporeal Membrane Oxygenation (ECMO) system of systems keeps it from being used across an even wider range of patients. Representatives from the Children's Healthcare of Atlanta asked a team from the Georgia Tech Professional Masters in Applied Systems Engineering for assistance in reducing the complexity of the current implementation as well as help provide a way forward for future improvement to the therapy. This paper examines the application of systems engineering methodologies as performed by the team, including Model Based Systems Engineering (MBSE), gap analysis of the system architecture and data visualization prototyping. Additionally the paper describes how the selection of tools and models fostered dialog between two groups of distinctly different backgrounds and provides a proposed roadmap for robust system design, development and future work.",2012,"though able boost survival rate \ % nearly \ % patient qualify treatment , currently implemented extracorporeal membrane oxygenation ( ecmo ) keep across even wider range patient . representative child healthcare atlanta asked team georgia tech professional master applied assistance reducing current implementation help provide way forward future improvement therapy . examines application methodology performed team , including ( ) , gap data visualization prototyping . additionally describes selection fostered dialog two group distinctly different background provides proposed roadmap robust , future work ."
An Investigation of Functionalities of Future Tool-chain for Aerospace Industry,"Abstract Model-based systems engineering (MBSE) is advocated as one important means to deal with increasing product complexity. In this paper, we investigate the increasing interest and use of MBSE in the aerospace domain. The growth of MBSE tools causes new challenges in the corresponding tool-chain development including data and information management, tool's applicability identification, tool-integration, etc. In this paper, a literature survey into trends and usages of large-scale MBSE tool-chains is presented. It is found that the key functionalities include functional roles, elements, abstraction levels and tool integration techniques. Additionally, we propose a methodology to provide guidance in optimizing future MBSE tool-chain functionalities for the aero-industry. In closing, we present a case study in order to illustrate the decision making process required to develop expected tool-chains by the proposed methodology.",2017,"model-based ( ) advocated one important mean deal increasing . , investigate increasing interest aerospace domain . growth cause new challenge corresponding tool-chain including data management , applicability identification , tool-integration , etc . , literature survey trend usage large-scale tool-chains presented . found key functionality include functional role , element , ion level integration technique . additionally , propose methodology provide guidance optimizing future tool-chain functionality aero-industry . closing , present case study order illustrate decision making required develop expected tool-chains proposed methodology ."
Model Based HSI \& Operational Process Simulation,"Abstract Human-Systems Integration (HSI) activities are focused on the human engineering aspects of the systems designing, manufacturing, operation, and maintenance. It is part of the system engineering process. Model-Based Systems Engineering (MBSE) is a concept, which is implemented by languages and software tools, for supporting all activities of development, operation, and system retirement, using a set of coherent models. This paper proposed how MBSE usage can be used to support the holistic HSI, from requirements and operational analysis, through retirement. The suggested methodology, which includes the use of Operational Process (OP) diagrams and model-based 3D (three dimensional) simulation, can be applied to introduce further discipline and rigor to address complex HSI, marking an improvement over current document-based practice.",2022,"human-systems integration ( hsi ) activity focused human aspect designing , manufacturing , operation , maintenance . part . model-based ( ) concept , implemented software , supporting activity , operation , retirement , set coherent . proposed usage support holistic hsi , operational , retirement . suggested methodology , includes operational ( op ) diagram model-based ( three dimensional ) , applied introduce discipline rigor address hsi , marking improvement current document-based practice ."
WILL SYSTEMS-OF-SYSTEMS MODELS SUPPORT COST RECOVERY FOR CRITICAL INFRASTRUCTURE RESILIENCY?,"ABSTRACT The fragility of critical infrastructures and the interdependency of infrastructures such as electric grids, water, wastewater, agriculture and manufacturing supply chains should encourage cost recovery for investments in resilience, not merely system reliability. Most cost recovery standards support investments for safety and reliability, but not resilience. If model-based systems engineering (MBSE) and virtually all other engineering domains can demonstrate greater system protection, adaptability, and recovery (minimizing cascading harms to connected critical infrastructures), regulatory standards should provide cost recovery for investments in resilience. Beyond cost-recovery incentives, systems-of-systems engineers can design facilities for supply component availability, surge production, and other commitments to more robust supply chains. Firms that plan for supply chain disruptions can expand their market shares during and after emergencies, while other firms decline or fail entirely. System designs for greater resiliency may reward firms that overcome system shocks, even when resiliency investments are not automatically priced into goods sold or services delivered.",2016,"fragility critical infrastructure interdependency infrastructure electric grid , water , wastewater , agriculture manufacturing supply chain encourage cost recovery investment resilience , merely reliability . cost recovery standard support investment safety reliability , resilience . model-based ( ) virtually domain demonstrate greater protection , adaptability , recovery ( minimizing cascading harm connected critical infrastructure ) , regulatory standard provide cost recovery investment resilience . beyond cost-recovery incentive , systems-of-systems engineer facility supply component availability , surge production , commitment robust supply chain . firm plan supply chain disruption expand market share emergency , firm decline fail entirely . greater resiliency may reward firm overcome shock , even resiliency investment automatically priced good sold service delivered ."
Model-based architecture and programmatic optimization for satellite system-of-systems architectures,"Abstract This paper presents a new approach to architecture optimization for an enterprise or System of Systems (SoS) with the goal of enhancing individual system acquisition programs and the operational effectiveness of the enterprise as a whole. Replacing the current common practice of utilizing one or two technical parameters serially to evaluate candidate architectures is a better method that employs a fuller set of technical and programmatic variables in a Model-Based Systems Engineering (MBSE) context. Integrated architecture modelling and optimization is performed in a tool-supported MBSE process to identify an optimum architecture solution. This specifically addresses the predesign phases of a system acquisition program where leverage on total program cost is the greatest. We seek to improve the ability to deal with challenges such as management independence, technical diversity, and lack of synchronization across the programs involved in a SoS. This implementation results in a higher quality optimization with a more informed, and traceable selection decision. An example satellite communications SoS case study is used to develop the approach and highlight its utility.",2018,"present new optimization enterprise ( ) goal enhancing individual acquisition program operational effectiveness enterprise whole . replacing current common practice utilizing one two technical parameter serially evaluate candidate better employ fuller set technical programmatic variable model-based ( ) context . integrated modelling optimization performed tool-supported identify optimum solution . specifically address predesign phase acquisition program leverage total program cost greatest . seek improve ability deal challenge management independence , technical diversity , lack synchronization across program involved . implementation result higher quality optimization informed , traceable selection decision . satellite communication case study develop highlight utility ."
SEMANTICALLY-ENABLED MODEL-BASED SYSTEMS,"ABSTRACT This paper describes a novel approach to the development and integration of semantics to the model-based systems engineering and operation of safety-critical network of systems. Engineering models work directly with formal domain and meta-domain (especially time and space) knowledge that are determinate, provable (ambiguity free), and executable. Engineers encode knowledge as semantic blocks, which are an integration of ontologies, rules, and communication and computation interfaces. This paper exercises these concepts in a collision avoidance problem involving autonomous agents at a traffic intersection.",2017,"describes novel integration semantics model-based operation safety-critical network . work directly formal domain meta-domain ( especially time space ) knowledge determinate , provable ( ambiguity free ) , executable . engineer encode knowledge semantic block , integration ontology , rule , communication computation interface . exercise concept collision avoidance problem involving autonomous agent traffic intersection ."
Model-based Interface Specification for Systems Integration in Systems of Systems Engineering,"Abstract The key to enable systems integration is that systems inter-communications are accurately and unambiguously specified. In line with ongoing Model-based Systems Engineering (MBSE) initiatives aiming to support systems engineering activities by means of formal and graphical models, we have introduced a logical model for the definition of Interface Communication Modelling Language (ICML), to enable a model-based approach for interface specification. ICML is based on UML and can potentially be integrated with other systems models in similar forms, e.g., SySML, and with systems of systems models in UPDM or related frameworks. We have designed ICML basing on a preliminary domain analysis on radio signal specifications, with application to space systems. In the analysis, we have specifically considered simple digital and unidirectional signals, and subsequently we have included a method to use ICML for Time-Division Multiplexed signals. We also present an excerpt of the ICML metamodel and a simple example application.",2012,"key enable integration inter-communications accurately unambiguously specified . line ongoing model-based ( ) initiative aiming support activity mean formal graphical , introduced logical definition interface communication modelling ( icml ) , enable model-based interface specification . icml uml potentially integrated similar form , e.g. , , updm related . designed icml basing preliminary domain radio signal specification , application space . , specifically considered simple digital unidirectional signal , subsequently included icml time-division multiplexed signal . present excerpt icml metamodel simple application ."
Systems Modeling Language (SysML v2) Support for Digital Engineering,ABSTRACT The OMG Systems Modeling Language™ (SysML®) was adopted in 2006 and has been used by many organizations to support their efforts to transition to a model-based systems engineering (MBSE) approach. SysML v2 is the next generation Systems Modeling Language and is intended to address many of the limitations of SysML v1. This paper highlights how the SysML v2 language and the new standard Application Programming Interface (API) can enable MBSE and digital engineering. SysML v2 is being developed by the SysML v2 Submission Team (SST) in response to requirements issued by the Object Management Group (OMG). The final submission to the OMG is planned for 2022. The draft SysML v2 specifications and the open-source SysML v2 pilot implementation can be found at https://github.com/Systems-Modeling.,2022,omg language™ ( sysml® ) adopted many organization support effort transition model-based ( ) . v next generation intended address many limitation v. highlight v new standard application programming interface ( api ) enable digital . v developed v submission team ( sst ) response issued object management group ( omg ) . final submission omg planned . draft v specification open-source v pilot implementation found
A Model-Based Method for Design Option Evaluation of Off-the-Shelf Naval Platforms,"Abstract Off-the-Shelf (OTS) strategies have become prevalent in the acquisition of naval platforms because the strategy is perceived as a means of reducing the acquisition cost and schedule risk. This paper covers a method to conduct an evaluation of shortlisted OTS naval platform design options that utilises Model-Based Systems Engineering (MBSE). MBSE is used as a means of developing and managing the traceability of evaluation criteria, managing the evaluation itself and facilitating reuse of the design patterns present both in naval platforms and acquisition processes. The paper concludes with a description of a pilot test of the method for an Offshore Patrol Vessel, which found it to be useful to manage the evaluation criteria traceability, maintain design data and identify weak spots in OTS design options.",2017,"off-the-shelf ( ots ) strategy become prevalent acquisition naval platform strategy perceived mean reducing acquisition cost schedule risk . cover conduct evaluation shortlisted ots naval platform option utilises model-based ( ) . mean developing managing traceability evaluation criterion , managing evaluation facilitating reuse pattern present naval platform acquisition . concludes description pilot test offshore patrol vessel , found useful manage evaluation criterion traceability , maintain data identify weak spot ots option ."
Academic application of trade-off studies to support a CubeSat project,"Abstract Academic CubeSat projects offer students and researchers hands-on engineering experience and can deliver cutting-edge research data. The CubeSat projects are highly multidisciplinary and require teamwork skills as well as engineering expertise. A challenge for academic CubeSat projects is the high turnover of graduating students, which makes knowledge management complicated. Model-Based Systems Engineering (MBSE) offers functionality that can address many of the challenges academic CubeSat teams experience. This paper presents a trade-off study using the Analytical Hierarchy Process (AHP) to select an MBSE software for use by students. Literature on academic application of formal trade-off studies in student teams is limited. The case study described here shows how tangible and intangible factors are addressed using the AHP method, and a discussion of the process and results is provided.",2022,"academic cubesat offer student researcher hands-on experience deliver cutting-edge research data . cubesat highly multidisciplinary require teamwork skill expertise . challenge academic cubesat high turnover graduating student , make knowledge management complicated . model-based ( ) offer functionality address many challenge academic cubesat team experience . present trade-off study analytical hierarchy ( ahp ) select software student . literature academic application formal trade-off study student team limited . case study described show tangible intangible factor addressed ahp , discussion result provided ."
Using Visual Diagrams and Patterns for Consistent and Complete Requirements,"Abstract This paper describes a visual and textual requirements representation based upon Model-Based Systems Engineering (MBSE) requirements patterns. This underlying representation is a rethinking of the concepts behind systems requirements. It takes into account the subjective stakeholder value, the life cycle modes, objective technical behavior and it combines the best of agile User Stories with MBSE patterns. This underlying MBSE requirements pattern improves the quality of conversations between key stakeholders of the system. Agile User Stories begin the conversation by focusing on the problem domain, addressed by MBSE pattern features. MBSE patterns then continue the conversation for the technical requirements. The content and relationships between the key MBSE patterns capture the product learning of the organization for use on future applications of similar products. The complexity of re-use and re-application is reduced by configurability. Organizations re-apply this product learning in new products resulting in lower costs and increased quality.",2016,"describes visual textual representation upon model-based ( ) pattern . underlying representation rethinking concept behind . take account subjective stakeholder value , life cycle mode , objective technical behavior combine best agile user story pattern . underlying pattern improves quality conversation key stakeholder . agile user story begin conversation focusing problem domain , addressed pattern feature . pattern continue conversation technical . content relationship key pattern capture learning organization future application similar . re-use re-application reduced configurability . organization re-apply learning new resulting lower cost increased quality ."
Case Study: Application of DoD Architecture Framework to Characterizing a Hospital Emergency Department as the Intended Use Environment for Medical Devices,"Abstract This paper presents a case study by the Biomedical-Healthcare Model-Based Systems Engineering (MBSE) Challenge Team in response to inputs received during workshops held at the 2015 and 2016 INCOSE International Workshops. At IW2015 and IW2016, the Challenge Team held workshops, including clinicians and systems engineers, to assess potential contributions of systems engineering, and MBSE, to clinical operations. At these workshops it was claimed that clinical operations were too complex to be modeled with existing MBSE tools from defense and aerospace. It was further claimed that there would be very limited value to MBSE products. Based on these claims, the MBSE Challenge team undertook several case studies to evaluate the ability of MBSE tools to represent clinical operations and to address problems relevant to healthcare. This paper describes the outcomes of applying one MBSE tool, the DoD Architecture Framework, to characterize clinical operations as the intended use environment for medical devices.",2018,"present case study biomedical-healthcare model-based ( ) challenge team response input received workshop held incose international workshop . iw iw , challenge team held workshop , including clinician engineer , ass potential contribution , , clinical operation . workshop claimed clinical operation modeled existing defense aerospace . claimed would limited value . claim , challenge team undertook several case study evaluate ability represent clinical operation address problem relevant healthcare . describes outcome applying one , dod , characterize clinical operation intended environment medical device ."
The Virtual Instrumentation Diagram,"Abstract The INCOSE Vision for 2025 projects Model-based Systems Engineering (MBSE) as the “norm” for systems engineering execution in the future. Implementing MBSE for the first time, however, requires a significant investment from the organization that decides to make the move. Further, the project's stakeholders may balk at joining in that investment without clear and certain evidence of significant benefits. This paper proposes an incremental approach to MBSE for an organization in the chemical processing industry. The initial objective of this approach is the production of a virtual piping and instrument diagram (P\&ID). The P\&ID is a diagram that is familiar to engineering teams and stakeholders in process industries. The quality of the resulting model is evaluated using an established framework. To further enhance the effectiveness of the model, system behaviors are animated with software developed to extend the model into a working simulation.",2015,"incose vision model-based ( ) “ norm ” execution future . implementing first time , , requires significant investment organization decides make move . , stakeholder may balk joining investment without clear certain evidence significant benefit . proposes incremental organization chemical processing industry . initial objective production virtual piping instrument diagram ( p\ & id ) . p\ & id diagram familiar team stakeholder industry . quality resulting evaluated established . enhance effectiveness , behavior animated software developed extend working ."
SysML Activity Models for Applying ISO 14971 Medical Device Risk and Safety Management Across the System Lifecycle,"Abstract The INCOSE Biomedical-Healthcare Model-Based Systems Engineering (MBSE) Challenge Team has been exploring applications of MBSE techniques to medical device development. Because patient and user safety is paramount in medical devices, the team has focused on using MBSE techniques to address safety topics. This paper uses MBSE methods to address the processes of analyzing safety and incorporating risk control at each step of the development portion of the system life cycle in order to achieve “built in” safety. SysML activity models are presented that link the steps of ISO 14971 to the system development technical processes of ISO 15288. In addition, the models show how the analysis results of ISO 14971 can be used to develop a system safety assurance case. The activity models explicitly show the iterative and recursive approach to applying risk management at each stage of system development and address the ISO 13485 requirement for process integration.",2015,"incose biomedical-healthcare model-based ( ) challenge team exploring application technique medical device . patient user safety paramount medical device , team focused technique address safety topic . us address analyzing safety incorporating risk control step portion life cycle order achieve “ built ” safety . activity presented link step iso technical iso . addition , show result iso develop safety assurance case . activity explicitly show iterative recursive applying risk management stage address iso integration ."
Exploring System Space with Graph Theory,"Abstract As today's Cyber Physical Systems (CPS) become more and more complex they provide both incredible opportunity and risk. Model Based Systems Engineering (MBSE) provides organizations a timely opportunity to address the complexities of Cyber Physical Systems. MBSE tools, languages and methods are having a very positive impact but are still in a formative stage and continue to evolve. Moreover, the Systems Modeling Language (SysML) has proven to be a significant enabler to advance MBSE methods given its flexibility and expressiveness. Unfortunately the number of people who know SysML well is relatively small. To bring the full power of MBSE to the larger community, system models can be rendered in intuitive forms to support broad understanding of system models. More specifically, Graph Theory has proven to be very effective in the design, analysis, management, and integration of complex systems. Use of Graph Theory and dynamic visualization can help teams gain insights, build intuition and ultimately help speed the innovation process.",2016,"today cyber physical ( cps ) become provide incredible opportunity risk . ( ) provides organization timely opportunity address cyber physical . , positive impact still formative stage continue evolve . moreover , ( ) proven significant enabler advance given flexibility expressiveness . unfortunately number people know relatively small . bring full power larger community , rendered intuitive form support broad understanding . specifically , graph theory proven effective , , management , integration . graph theory dynamic visualization help team gain insight , build intuition ultimately help speed innovation ."
Toward Systems Engineering Modeling Standards: Proposed System Architecture Core Model Elements and Composition,"Abstract Through successful employment of large scale Model Based Systems Engineering (MBSE) over many years, The Boeing Company has developed an elaborate data model and associated constraining business rules that form part of its MBSE tool suite specifications. The core elements of this data model and business rule set are presented in this paper as a set of UML 2.0 class diagrams. Advantages inherent in this core data model and business rule set are detailed. These core data model elements and business rules should be applicable to modeling efforts across engineering domains. It is proposed that these core data model elements and business rules be considered for incorporation into an omnibus data model standard and associated constraining business rule standard that reflects the modeling needs of the MBSE community at large. This modeling standard could serve as the basis of an MBSE ontology, as well as the basis of tool suite and data exchange specifications.",2017,"successful employment large scale ( ) many year , boeing company developed elaborate data associated constraining business rule form part suite specification . core element data business rule set presented set uml . class diagram . advantage inherent core data business rule set detailed . core data element business rule applicable effort across domain . proposed core data element business rule considered incorporation omnibus data standard associated constraining business rule standard reflects need community large . standard could serve basis ontology , basis suite data exchange specification ."
