"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Design of the Environmental Control System of an Unmanned Aerial Vehicle through the MBSE","C. Arcuti; E. Brusa; P. Maggiore; E. Valfré; G. Mancuso","Dept. Mechanical and Aerospace Engineering, Politecnico di Torino, Torino, Italy; Dept. Mechanical and Aerospace Engineering, Politecnico di Torino, Torino, Italy; Dept. Mechanical and Aerospace Engineering, Politecnico di Torino, Torino, Italy; Engineering System & Configuration Management, Leonardo Aircraft Division SpA, Torino, Italy; Aircraft Systems, Leonardo Aircraft Division SpA, Torino, Italy","2019 International Symposium on Systems Engineering (ISSE)","6 Feb 2020","2019","","","1","8","Current transformation of the aircraft industry promotes a transition from the document-based to the model-based approach. In this paper, the design of the Environmental Control System (ECS) of an Unmanned Aerial Vehicle (UAV) is developed. This case is exploited to drive the Model Based Systems Engineering (MBSE) implementation towards an effective reuse; to interoperate the functional modelling based on the IBM tools with the numerical simulation provided by the AMESIM® toolbox; and to define a suitable process of heterogeneous simulation, while performing the trade-off activity, through a traced allocation of requirements.","2687-8828","978-1-7281-1783-6","10.1109/ISSE46696.2019.8984507","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8984507","MBSE;System Engineering;Heterogeneous Simulation;Environmental Control System (ECS);Unmanned Air Vehicle (UAV);Mechatronics","","aircraft control;autonomous aerial vehicles;open systems;program verification;systems engineering","model-based approach;Environmental Control System;Unmanned Aerial Vehicle;Systems Engineering implementation;MBSE;functional modelling;aircraft industry;document-based approach;AMESIM toolbox;heterogeneous simulation;numerical simulation","","","","13","IEEE","6 Feb 2020","","","IEEE","IEEE Conferences"
"Extension of MBSE for project programmatics management on the Asteroid Redirect Robotic Mission","O. Sindiy; B. Weatherspoon; R. Tikidjian; T. Mozafari","Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA; Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA; Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA; Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA","2017 IEEE Aerospace Conference","8 Jun 2017","2017","","","1","11","Model-based Systems Engineering can be employed beyond management of the technical architecture development of a system to also manage the programmatics associated with Systems Engineering activities of a project. On NASA's Asteroid Redirect Robotic Mission, MBSE has been successfully employed to manage, generate, and interact with the documentation-based deliverables associated with System Engineering activities. This has been involved in defining and tracking project document, milestone, and personnel metadata via the same modeling framework used for the technical architecture management. Additionally, it has focused on improving overall user experiences through linkage of documentation to technical content in the system model, automation of manually intensive tasks, and others stakeholder-oriented features.","","978-1-5090-1613-6","10.1109/AERO.2017.7943874","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7943874","","Tools;Documentation;Metadata;Terminology;Robots","asteroids;space vehicles","model-based systems engineering activities;technical architecture development;NASA;Asteroid Redirect Robotic Mission;documentation-based deliverables;project document;personnel metadata;modeling framework;technical architecture management;technical content;system model;stakeholder-oriented features;project programmatics management","","2","","7","IEEE","8 Jun 2017","","","IEEE","IEEE Conferences"
"A Model Centric Framework and Approach for Complex Systems Policy","S. V. Bhada; R. Krishnan","Worcester Polytechnic Institute, Worcester, MA, USA; Worcester Polytechnic Institute, Worcester, MA, USA","IEEE Systems Journal","9 Mar 2021","2021","15","1","215","225","Twenty-first century systems engineering is no longerdocument-centric; instead, it is model-centric. Model-centric systems engineering helps reduce ambiguity, increase clarity, and increase the analytics of the resulting complex systems. However, complex systems are governed by organizational policies that are still document-centric. Such policies are difficult to analyze, and gaps in policy can lead to major deficiencies in the resulting complex systems. This article introduces a framework for policy content modeling (PCM) and analysis. The framework represents the conceptual view and is supported by a step-by-step approach to achieve complete policy modeling and analysis. This approach was used with the intention of identifying and analyzing gaps in policy content and calculating policy toxicity, which negatively affects the resulting system. This framework and approach was also applied to Veterans Affairs (VA) and university policies. The VA PCM is conducted to discover toxicity in the policies and University policies modeling is done to graphically represent an undocumented policy and toxicity in the policy implementation.","1937-9234","","10.1109/JSYST.2020.3003204","U.S. Department of Veterans Affairs(grant numbers:BOA VA777-16-G-0020); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9136882","Complex systems policy;modeling;model-based systems engineering (MBSE);model centric systems engineering;policy;policy analysis","Object oriented modeling;Analytical models;Phase change materials;Complex systems;Natural languages","formal specification;organisational aspects;software architecture;systems engineering","policy content modeling;Veterans Affairs;VA PCM;document-centric;policy toxicity;university policies modeling;policy implementation;undocumented policy;organizational policies;model-centric systems engineering;century systems engineering;complex systems policy","","5","","36","CCBY","8 Jul 2020","","","IEEE","IEEE Journals"
"KAUSAL: A New Methodological Approach for Model Based Analysis of Complex Failure Chains by Example of an Electromobility Concept","N. Schlueter; P. Winzer; A. Ansari; O. Bielefeld; H. Dransfeld; M. Heinrichsmeyer","Research Group of Product Safety and Quality Engineering, University of Wuppertal, Wuppertal, Germany; Research Group of Product Safety and Quality Engineering, University of Wuppertal, Wuppertal, Germany; Research Group of Product Safety and Quality Engineering, University of Wuppertal, Wuppertal, Germany; Research Group of Product Safety and Quality Engineering, University of Wuppertal, Wuppertal, Germany; Research Group of Product Safety and Quality Engineering, University of Wuppertal, Wuppertal, Germany; Research Group of Product Safety and Quality Engineering, University of Wuppertal, Wuppertal, Germany","2018 IEEE International Conference on Systems, Man, and Cybernetics (SMC)","17 Jan 2019","2018","","","947","952","The increasing complexity of modern products is the cause of many problems concerning safety and technical reliability. Especially in the field of public transport, the consequences of failures are disastrous. In order to prevent this matter, many techniques have been developed for failure analysis such as FMEA (Failure Mode Effects Analysis) or RBD (reliability block diagram). However, those techniques cannot handle the complexity in a mechatronic system, because they are still fragmentary. Therefore, it is necessary to develop an approach, which be able to analyze interactions between all system elements and their failures. For this purpose, the fundamental principles from Systems Engineering are an optimum solution to understand the complexity of a system in order to prevent potential failure by using a model based failure analysis. But, how can failure chains be represented and analyzed transparently in the system model? Are there any possibilities to combine determined failure chains with established methods of different disciplines for a holistic analysis? These crucial questions form the major part of this article and will be demonstrated by example of an electromobility concept.","2577-1655","978-1-5386-6650-0","10.1109/SMC.2018.00168","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8616164","Systems Engineering;Model Based Systems Engineering (MBSE);system model;methodological approach;failure chains;techniques for failure analysis;electromobility","Unified modeling language;Analytical models;Visualization;Complexity theory;Safety;Reliability","failure (mechanical);failure analysis;mechatronics;reliability","KAUSAL approach;complex failure chains;failure mode effects analysis;methodological approach;systems engineering;mechatronic system;reliability block diagram;RBD;technical reliability;electromobility concept;holistic analysis;system model;model based failure analysis","","4","","15","IEEE","17 Jan 2019","","","IEEE","IEEE Conferences"
"The Systems Engineering DevOps Lemniscate and Model-Based System Operations","J. T. J. Mathieson; T. Mazzuchi; S. Sarkani","Northrop Grumman Corporation, Falls Church, VA, USA; Department of Engineering Management and Systems Engineering, School of Engineering and Applied Science, George Washington University, Washington, DC, USA; Department of Engineering Management and Systems Engineering, School of Engineering and Applied Science, George Washington University, Washington, DC, USA","IEEE Systems Journal","26 Aug 2021","2021","15","3","3980","3991","Systems engineering is defined as a “full life cycle” discipline and provides methodologies and processes to support the design, development, verification, sustainment, and disposal of systems. While this cradle-to-grave concept is well documented throughout literature, there has been recent emphasis on evolving and digitally transforming systems engineering methodologies, practices, and tools for the latter phases of system life cycles. This article adapts principles from the software engineering domain DevOps concept (a collaborative merger of system development and operations) into a Systems Engineering DevOps (SEDevOps) life cycle model. This facilitates a merger of systems engineering processes, tools, and products into a surrogate operational environment in which the sustainment of a system is tied closely to the curation of a system model expanded to include the enabling system elements necessary for operations and sustainment (procedures, scripts, etc.). This progression of the systems engineering mindset, focused on digitally transforming and enhancing system operations and sustainment, improves agility in later life cycle phases. A framework for applying SEDevOps is introduced as a new systems modeling language profile. A use-case leveraging this “model-based system operations” framework, shows how merging support elements into a spacecraft system model improves adaptability during operations, exemplifying elements of a DevOps approach to cyber-physical system sustainment.","1937-9234","","10.1109/JSYST.2020.3015595","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9179780","Agile;DevOps;digital transformation;life cycle;model-based systems engineering (MBSE);systems engineering","Modeling;Tools;Unified modeling language;Systems operation;Software engineering;Adaptation models","software engineering;systems engineering","Systems Engineering DevOps lemniscate;full life cycle discipline;cradle-to-grave concept;system life cycles;software engineering domain DevOps concept;system development;Systems Engineering DevOps life cycle model;systems engineering processes;surrogate operational environment;systems engineering mindset;life cycle phases;use-case;spacecraft system model;cyber-physical system sustainment;model-based system operations","","4","","44","IEEE","28 Aug 2020","","","IEEE","IEEE Journals"
"Functional Modelling and IDEF0 to Enhance and Support Process Tailoring in Systems Engineering","G. Manenti; M. Ebrahimiarjestan; L. Yang; M. Yu","Dept. Management Engineering, Politecnico di Milano, Milan, Italy; Dept. Industrial Engineering, Tsinghua University, Beijing, China; Coll. Engineering and Informatics, National University of Ireland, Galway, Galway, Ireland; Dept. Industrial Engineering, Tsinghua University, Beijing, China","2019 International Symposium on Systems Engineering (ISSE)","6 Feb 2020","2019","","","1","8","The primary reference to modern systems engineering procedure is the International Council on Systems Engineering (INCOSE) Systems Engineering Handbook. The main problem of such handbook is that it has a very high degree of complexity and could appear fragmented as well as challenging to follow for readers, coupled with the isolation of the Input-Process-Output (IPO) diagrams that withhold an overall system vision of the discipline. The authors highlight the embedded complexity of systems engineering and in particular of the INCOSE Systems Engineering Handbook identifying process modelling as a viable and efficient solution. The authors propose IDEF0 as an ideal modelling technique due to the similarity of the IDEF0 diagrams with the IPO diagrams and the addition of the functional modelling hierarchical decomposition. Concluding, the authors present an example of the benefits that using the model, rather than referring to the handbook alone, yield to process tailoring in terms of efficiency and overall system optimisation.","2687-8828","978-1-7281-1783-6","10.1109/ISSE46696.2019.8984539","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8984539","MBSE;IDEF0;process tailoring;systems engineering;INCOSE SE handbook;modelling;functional modelling;IPO;hierarchy;decomposition;model-based systems engineering","","software engineering;systems engineering","IDEF0 diagrams;functional modelling hierarchical decomposition;system optimisation;input-process-output diagrams;process tailoring;process modelling;INCOSE systems engineering handbook;International Council on Systems Engineering;embedded complexity;IPO diagrams","","3","","32","IEEE","6 Feb 2020","","","IEEE","IEEE Conferences"
"No need to learn from each other? — Potentials of knowledge modeling in autonomous vehicle systems engineering towards new methods in multidisciplinary contexts","F. Schäfer; R. Kriesten; D. Chrenko; F. Gechter","Hochschule Karlsruhe - Technik und Wirtschaft, Institut für Energieeffiziente Mobilität, Karlsruhe, Germany; Hochschule Karlsruhe - Technik und Wirtschaft, Institut für Energieeffiziente Mobilität, Karlsruhe, Germany; Femto-ST, Université Bourgogne Franche-Comté, Belfort, France; Femto-ST, Université Bourgogne Franche-Comté, Belfort, France","2017 International Conference on Engineering, Technology and Innovation (ICE/ITMC)","5 Feb 2018","2017","","","462","468","Engineering autonomous driving functions has become a dramatic challenge in automotive engineering since it is now required to integrate knowledge from multi-disciplinary domains. In this context, the widespread engineering methods are showing their limit since they mainly integrate technological centered point of view. Thus, these new requirements lead naturally to the design of new method for engineering in automotive field. The goal of this paper is to sketch an overview of the possible improvements that Knowledge Modeling and ontologies can bring to Systems Engineering and especially in the case of Autonomous Driving functions.","","978-1-5386-0774-9","10.1109/ICE.2017.8279921","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8279921","Automated Driving (AD);Systems Engineering (SE);Requirements Engineering (RE);Model-Based Systems Engineering (MBSE);multidisciplinary engineering;interdisciplinary engineering;Knowledge Management (KMa);Knowledge Modeling (KMo);Ontology;Semantic Web (SW);Human Systems Integration (HSI)","Vehicles;Automation;Modeling;Task analysis;Knowledge engineering;Automotive engineering","ontologies (artificial intelligence);road vehicles;systems engineering;traffic engineering computing","automotive engineering;Engineering autonomous driving functions;autonomous vehicle systems engineering;knowledge modeling;automotive field","","2","","31","IEEE","5 Feb 2018","","","IEEE","IEEE Conferences"
"A Tooled Methodology for the System Architect’s Needs in Simulation with Autonomous Driving Application","H. Sohier; S. Guermazi; M. Yagoubi; P. Lamothe; A. Maddaloni; P. Menegazzi; Y. Huang","IRT SystemX, Palaiseau, France; Sherpa Engineering, La Garenne-Colombes, France; IRT SystemX, Palaiseau, France; PSA Groupe, Velizy-Villacoublay, France; Renault, Guyancourt, France; Valeo, Cergy-Pontoise, France; IRT SystemX, Palaiseau, France","2019 IEEE International Systems Conference (SysCon)","16 Sep 2019","2019","","","1","8","Model Based Systems Engineering (MBSE) is a promising solution to formalize and communicate information about the design of complex systems, in particular for the automotive industry which faces new challenges associated to autonomous driving. Numerical simulation is commonly used to support the design of these complex systems, but the possible relations with MBSE should be further investigated. This work, conducted with academic and industrial partners at the research institute IRT SystemX, aims at further bridging the gap between system architecture and numerical simulation. An industrial design problem related to the design of an autonomous vehicle passing traffic lights is used to validate and illustrate new methods and tools based on SysML. Their aim is to: 1) guide the formulation of a question requiring simulation, called solicitation, by the system architect 2) guide the design of a simulation architecture by the simulation architect with a special focus on the consistency with the system. A Java plugin was developed in the SysML editor Papyrus for the solicitation, and a SysML metamodel was defined for the simulation architecture. The solicitation associated to the industrial design problem is answered by a multiobjective optimization of the vehicle's cost and electrical consumption using a co-simulation between the tools Simulink and Amesim.","2472-9647","978-1-5386-8396-5","10.1109/SYSCON.2019.8836775","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8836775","MBSE;SysML;System architect;Solicitation;Simulation architect;Model Identity Card","Modeling;Tools;Autonomous vehicles;Systems architecture;Mathematical model;Companies","design engineering;formal specification;Java;optimisation;road traffic;systems engineering;traffic engineering computing","system architect;autonomous driving application;MBSE;automotive industry;numerical simulation;research institute IRT SystemX;industrial design problem;autonomous vehicle;simulation architecture;SysML editor Papyrus;model based systems engineering;Simulink;Amesim","","4","","26","IEEE","16 Sep 2019","","","IEEE","IEEE Conferences"
"Developing a CubeSat Model-Based System Engineering (MBSE) reference model — Interim status #3","D. Kaslow; B. Ayres; P. T. Cahill; L. Hart; R. Yntema","Berwyn, PA 19312; The Aerospace Corp., El Segundo, CA; Bryn Mawr, PA 19010; The MITRE Corporation, McLean, VA; InterCAX, Atlanta, GA","2017 IEEE Aerospace Conference","8 Jun 2017","2017","","","1","15","Model-Based Systems Engineering (MBSE) is the formalized application of modeling to support key systems engineering tasks for addressing requirements, design, analysis, validation, and verification. The International Council on Systems Engineering (INCOSE) established the MBSE Initiative to promote, advance, and institutionalize the practice of MBSE. As part of this effort, the INCOSE Space Systems Working Group (SSWG) has been investigating the applicability of MBSE for designing CubeSats. Our application of MBSE is enabled by the graphical modeling language Systems Modeling Language (SysML). SysML is used to model all aspects of a system either directly or through interfaces with other models. SysML diagrams are used to describe requirements, structures, behaviors, and parametrics from the system down to the component level. Requirements and design are contained in the model rather than in a series of independent engineering artifacts. The CubeSat Reference Model provides the logical architecture. The logical elements can be reused as a starting point for a mission-specific CubeSat logical architecture, followed by the physical architecture and the CubeSat development. Our prior work established the CubeSat Reference Model domain as consisting of the stakeholders, CubeSat enterprise, external environment, and external constraints, with the CubeSat enterprise consisting of space and ground segments. The CubeSat enterprise architecture has been refined to accommodate an external service providing CubeSat transportation to a launch site, integration into a launch vehicle, launch, and deployment. It has also been refined to accommodate a CubeSat project developing its own ground station or operating with an existing ground station that provides uplink and downlink services. Space and ground subsystems had been identified in our prior work. Use cases have now been established to further define the subsystem capabilities. It has been recognized that there are two modeling efforts. One is the SSWG developing a CubeSat Reference Model with its logical architecture. The other is a team eventually taking the CubeSat Reference Model as a basis for its mission-specific logical and physical architectures. Therefore, there are two categories of stakeholders. A stakeholder is any entity that has an interest in the system. The stakeholders for the CubeSat Reference Model include INCOSE, the Object Management Group (OMG), regulatory agencies, and the university teams that will be using the CubeSat Reference Model. We are exploring having NASA, NOAA, and FCC regulations contained within their own SysML models and connecting those models to our CubeSat Reference Model. The stakeholders for the mission-specific CubeSat model are those with an interest in the mission-specific CubeSat space and ground system. Typical stakeholders for a space and ground system include sponsor, user, operator, project manager, project engineer, developer, and tester. The list of stakeholders for a university CubeSat project is much smaller. We are collaborating with OMGs Space Domain Task Force (SDTF) to adopt the CubeSat Reference Model as an OMG specification.","","978-1-5090-1613-6","10.1109/AERO.2017.7943691","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7943691","","Space stations","aerospace computing;artificial satellites;SysML;systems engineering","FCC regulations;NOAA;NASA;OMGs Space Domain Task Force;SDTF;regulatory agencies;OMG;object management group;physical architectures;space subsystems;ground subsystems;uplink services;downlink services;ground station;launch vehicle;space segments;ground segments;mission-specific CubeSat logical architecture;logical elements;component level;independent engineering artifacts;SysML diagrams;Systems Modeling Language;graphical modeling language;International Council on Systems Engineering;INCOSE Space Systems Working Group;SSWG;MBSE;CubeSat model-based system engineering reference model","","7","","9","IEEE","8 Jun 2017","","","IEEE","IEEE Conferences"
"Application Practice of Model-Based System Engineering Method in Civil Aircraft Cabin Pressure Control System Design","T. Chao; H. Yan; Z. Kaili; L. Litao; L. Jiafeng; Z. Xinai","Shanghai Aircraft Design Research Institute, Shanghai, China; Shanghai Aircraft Design Research Institute, Shanghai, China; Shanghai Aircraft Design Research Institute, Shanghai, China; Shanghai Aircraft Design Research Institute, Shanghai, China; Shanghai Aircraft Design Research Institute, Shanghai, China; Shanghai Aircraft Design Research Institute, Shanghai, China","2021 7th International Conference on Mechanical Engineering and Automation Science (ICMEAS)","20 Dec 2021","2021","","","190","194","With the improvement of the complexity of civil aircraft,Model Based Systems Engineering(MBSE) plays more important role in the aircraft design nowadays. In this paper, an architecture design method based on MBSE applied in aircraft cabin pressure control system is introduced. A top-down design process including functional physical architecture analysis is presented to ensure final solution can meet stakeholder needs. Functional architecture produced by functional analysis which transfers stakeholder needs and top-level requirements to design requirements has great effects on physical solution design. Physical architecture which is implementation of functional architecture provides enough detail to synthesize a physical architecture. This paper proposes a framework for efficient architecture based MBSE which can also provide common understanding of the scope and characterization of the system for engineers involved in system design. It shows that the proposed MBSE method significantly improves synthesis of design and integration, and ensure the requirements can be properly implemented","","978-1-7281-9768-5","10.1109/ICMEAS54189.2021.00045","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9643611","MBSE;Pressure Control System;FunctionalArchitecture","Solution design;Systems architecture;Pressure control;Functional analysis;Stakeholders;Aircraft propulsion;Aircraft","aerospace computing;aerospace safety;aircraft control;control engineering computing;decision making;design engineering;pressure control;systems engineering","architecture design method;functional architecture;MBSE method;model-based system engineering method;civil aircraft cabin pressure control system design;aircraft design;physical architecture","","2","","12","IEEE","20 Dec 2021","","","IEEE","IEEE Conferences"
"Improved System Engineering Technical Review’s Entrance/Exit Criteria with Model Maturity Metrics","J. D. Gaskell; C. N. Harrison","Senior Systems Engineer, Strategic Technical Services LLC, Tampa, FL, USA; NSWC Crane Division, NAVSEA, Platform and Launcher Systems Engineering, Crane, IN, USA","2019 International Symposium on Systems Engineering (ISSE)","6 Feb 2020","2019","","","1","8","Existing Systems Engineering Technical Reviews (SETR) are currently reliant on static, document-based Entrance/Exit Criteria (EEC) and Objective Qualifying Evidence (OQE) which is often disjointed and difficult to follow. With the implementation of Model-Based Systems Engineering (MBSE) a more qualitative set of EECs, based on expected levels of Descriptive System Model (DSM) maturity, can be used to evaluate readiness for SETR completion. A paradigm shift of this magnitude requires stakeholder buy-in and input to determine evaluation factors for DSM maturity. The ability to dynamically assess model maturity requires well defined. relation-mapping and methodology. Given the above conditions are met, a metric suite can be established, within a profile, to assess a model's maturity and quality. The metric suite can be applied to any model using the same mapping and methodology. The metric suite probes the model and returns a maturity percentage that can be compared to predetermined, tailorable values. This assessment can then be used to determine readiness for a given SETR milestone.This paper captures a proof of concept experiment for implementing metrics as a portion of Entrance Criteria for a Critical Design Review. A subset of metrics was developed to build stakeholder buy-in, indicating the development of a system has matured sufficiently to be reviewed for a SETR milestone decision. The initial demonstration was well received and there are continuing efforts to improve the ability to assess a model's maturity for SETR milestones. The experiment identified that the metrics are unable to assess against gap information. In contrast, the benefits gained from using a dynamic set of entrance criteria include enabling a more event-based SETR, improved confidence in the model's validity, and can be used to provide more data to assist with effort resource planning.","2687-8828","978-1-7281-1783-6","10.1109/ISSE46696.2019.8984435","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8984435","metrics;SETR;MBSE;Systems Engineering;Technical Review;Model Based;Entrance Exit Criteria","","software metrics;software reviews;systems engineering","Model maturity metrics;Systems Engineering Technical Reviews;Objective Qualifying Evidence;Model-Based Systems Engineering;Descriptive System Model maturity;SETR completion;DSM maturity;entrance criteria;Critical Design Review;SETR milestone decision;exit criteria","","2","","4","IEEE","6 Feb 2020","","","IEEE","IEEE Conferences"
"The roles of modeling and simulation in assessing spacecraft Integration Readiness Levels","G. T. Jesus; M. F. C. Júnior","Instituto Nacional de Pesquisas Espaciais (INPE), São José dos Campos, Brazil; Instituto Nacional de Pesquisas Espaciais (INPE), São José dos Campos, Brazil","2021 IEEE International Systems Conference (SysCon)","9 Jun 2021","2021","","","1","5","Introducing new technologies in Complex Products and Systems (CoPS) requires in-depth knowledge of technology and the system integration process. Technology Readiness Assessment (TRA) is a systematic evidence-based process that assesses technology maturity based on Technology Readiness Levels (TRL). System Readiness Assessment (SRA) is the process of conducting integrated assessments of a developing system to assess technology maturation and provide a systemic understanding of the development life-cycle. The Integration Readiness Levels (IRL) scale complements TRL in representing integration between technological elements in a system, and both scales are used in SRA to calculate system readiness metrics. SRA is expected to be an emerging systems engineering best practice and has evolved over the last decade. However, SRA does not explicitly guide whether simulation could comply with IRL dedicated to interface verification and validation. Modeling and simulation (M&S) play many roles in systems engineering. Digital and M&S technologies advancement, as Model-Based System Engineering (MBSE) and digital twins, may contribute to reducing space missionś costs and schedule, along with trends in systems and technology reuse. This research identified the possible roles of modeling and simulation in assessing spacecraft Integration Readiness Levels. Results showed M&S possible roles for each IRL and whether the roles were essential or support to achieve IRL. Also, a link between system life cycle processes and these results contributes to the SRA research stream. A case study with the China-Brazil Earth Resources Satellite (CBERS) program was used to validate part of the proposed theory, in line with other cases extracted from the literature. This paper contributes to the SRA research stream with these theoretical and practical results, by suggesting future studies that could improve SRA practice and consequently support the decision-making on technology introduction in CoPS.","2472-9647","978-1-6654-4439-2","10.1109/SysCon48628.2021.9447057","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9447057","Modeling and simulation;Space system;System readiness assessment;Integration readiness levels;Model-based systems engineering;Digital twin","Space vehicles;Systematics;Terminology;Digital twin;Space missions;Simulation;Decision making","decision making;modelling;simulation;space vehicles;systems engineering","system integration process;technology readiness assessment;technology maturity assessment;system readiness assessment;systems engineering;spacecraft integration readiness levels;integration readiness levels;development life cycle;technology readiness levels;systematic evidence based process;modeling and simulation;model based system engineering;decision making","","","","30","IEEE","9 Jun 2021","","","IEEE","IEEE Conferences"
"Be Lean — How to Fit a Model-Based System Architecture Development Process Based on ARP4754 Into an Agile Environment","D. Dollinger; J. Rhein; K. Schmiechen; F. Holzapfel","Institute of Flight System Dynamics, Technical University of Munich, München, Germany; Institute of Flight System Dynamics, Technical University of Munich, München, Germany; Institute of Flight System Dynamics, Technical University of Munich, München, Germany; Institute of Flight System Dynamics, Technical University of Munich, München, Germany","2021 IEEE/AIAA 40th Digital Avionics Systems Conference (DASC)","15 Nov 2021","2021","","","1","10","An emerging service is moving the known aviation sector in terms of technology, paradigms, and key players the Urban Air Mobility. The reason: new developments in nonaviation industries are driving technological progress in aviation. For instance electrical motors, modern sensor technologies and better energy storage expand the possibilities and enable novel vehicle concepts which require also novel system architectures for flight control systems. Their development is governed by aviation authority and industry recognized standards, guidelines and recommended practices. Comprehensive methods for Model-Based Systems Engineering exist which address these guidance materials but their setup and their application can be quite resource-demanding. Especially the new and rather small key players - start-ups and development teams in an educational environment - can be overwhelmed to setup such development processes. For these clients, the authors propose a custom workflow for the development of system architectures. It shall ensure development rigor, quality and consistency. The authors show how the custom workflow has been established based on the ARP4754A and its level of compliance to the standard’s process objectives. Based on automation of life cycle activities, manual effort can be reduced to allow the application even in small teams. The custom workflow’s activities are explained and demonstrated within a case study of an Experimental Autopilot system architecture.","2155-7209","978-1-6654-3420-1","10.1109/DASC52595.2021.9594340","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9594340","system architecture;ARP4754A;model-based systems engineering;MBSE;agile development;development process","Industries;Automation;Systems architecture;Hierarchical systems;Manuals;Tools;DSL","aerospace computing;aerospace safety;emergency services;energy storage;safety-critical software;software architecture;systems engineering","agile environment;aviation sector;urban air mobility;instance electrical motors;modern sensor technologies;flight control systems;educational environment;custom workflow;model-based system architecture development process;recommended practices;experimental autopilot system architecture","","3","","18","IEEE","15 Nov 2021","","","IEEE","IEEE Conferences"
"Model based document and report generation for systems engineering","C. Delp; D. Lam; E. Fosse; C. -Y. Lee","Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA, USA; Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA, USA; Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA, USA; Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA, USA","2013 IEEE Aerospace Conference","13 May 2013","2013","","","1","11","As Model Based Systems Engineering (MBSE) practices gain adoption, various approaches have been developed in order to simplify and automate the process of generating documents from models. Essentially, all of these techniques can be unified around the concept of producing different views of the model according to the needs of the intended audience. In this paper, we will describe a technique developed at JPL of applying SysML Viewpoints and Views to generate documents and reports. An architecture of model-based view and document generation will be presented, and the necessary extensions to SysML with associated rationale will be explained. A survey of examples will highlight a variety of views that can be generated, and will provide some insight into how collaboration and integration is enabled. We will also describe the basic architecture for the enterprise applications that support this approach.","1095-323X","978-1-4673-1813-6","10.1109/AERO.2013.6496926","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6496926","","Analytical models;Mathematical model;Computer architecture;Computational modeling;Semantics","document handling;systems engineering;Unified Modeling Language","model based document;model based systems engineering;MBSE;JPL;SysML;model-based view;document generation;enterprise applications;systems modeling language","","31","","13","IEEE","13 May 2013","","","IEEE","IEEE Conferences"
