title,abstract,year
A Model-Based Systems Engineering Approach to Obtain Fault Trees for Failure Analysis Using SysML,"Industries are constantly being challenged with project and system complexity and the different processes and approaches these convey. In addition, there may be a different number of stakeholders, areas of interest, and ambiguous communication among each of the interested shareholders. When new projects and systems are under development, there are decisions that need to be made related to the reliability of it that may rise issues and it is essential to be able to reduce and mitigate risks in the early stages before the cost of fixing them increases. As systems continue to grow in scale, Model-Based Systems Engineering (MBSE) has become the main approach to manage complexity and maintain consistency in system development. MBSE is an approach that is becoming particularly popular because it allows the generation of system models that help formally establish specification, system requirements, analysis, design, and verification and validation (V&V) activities throughout the development of the system life cycle while ensuring traceability. In this paper, a detailed review of an Automated Teller Machine (ATM) System design process implementation as a use case is presented using Systems Modeling Language (SysML) to support system semantics through an MBSE approach, and later develop a reliability analysis - Fault Tree Analysis (FTA) to help in system improvements and facilitate decision-making in the development of the system.",1970
Transitioning Systems Thinking to Model-Based Systems Engineering: Systemigrams to SysML Models,"A fundamental challenge for system engineers is to capture a problem with an effective model or framework and then facilitate transferring the information of that captured problem to practical systems engineering tools and methods. The early problem definition phase requires an application of systems thinking with adequate modeling tools and methods. Then, the later problem definition phase and early system architecting phase requires transferring the captured problem to systems engineering tools and methods through emerging techniques such as model-based systems engineering (MBSE) using SysML (MBSE is the practice of using a modeling tools to capture systems engineering diagrams). This paper presents a method for capturing a problem through systemigrams and the Boardman soft systems methodology and then directly translating the systemigrams into SysML diagrams. With MBSE increasing in usage, this method could provide a time savings opportunity during model development along with the possibility of lowering information distortion or loss that can occur during transformation of systems thinking to systems engineering activities. This paper includes a case study which demonstrates how the proposed approach was applied on a problem being considered by the U.S. Army-Contingency Basing for Small Combat Units. Finally, this paper will provide the conclusion on the development of the method and describe future research directions that can allow systems thinking and MBSE to function in a congruent methodology.",1970
Enhancing model-based systems engineering with the Lifecycle Modeling Language,"As systems become more complex, the systems engineering community must find new and more efficient ways of dealing with complexity throughout the system's lifecycle. Model-Based Systems Engineering (MBSE) has proven to be effective at managing complexity through the development of systems in a virtual environment. Several languages have been developed in the spirit of MBSE; however, these languages often do not include the full spectrum of information needed for holistic system solutions. The Lifecycle Modeling Language (LML) has been developed to provide extensible language that contains both visualization models and an ontology. When LML is coupled with the Systems Modeling Language (SysML), the result is a modeling constructs that better supports systems engineering processes across the entire spectrum of lifecycle concerns. This coupling will not only be beneficial today, but could serve as a catalyst for a future MBSE environment.",1970
"Combining Model-Based Systems Engineering, Simulation and Domain Engineering in the Development of Industrial Automation Systems: Industrial Case Study","Due to increasing complexity, the design of Industrial Automation Systems are becoming more challenging. In that sense, efforts have been driven to develop Model-Based Systems Engineering tools and methods. Despite recent progress, there are still doubts in terms of the practical use and benefits. The main concerns are related to integration among tools and exchange of information between multidisciplinary artifacts. This paper compares Document-Centric Engineering (CAx tools) and Model-Based Systems Engineering (MBSE) in light of Industrial Automation Systems using a real domain. Therefore, a MBSE compliant method was developed and tested. Commercial tools such as the Eclipse platform and the ModelicaML language were used to perform abstract modeling while COMOS® from Siemens® was used to develop the multidisciplinary artifacts for project documentation. A Java application was developed to integrate component information between the selected environments. The OpenModelica Compiler was integrated to the platform to allow system and component behavior simulation. Tests have shown that the tools involved on this investigation still need further development concerning maturity and exchange of information from abstract models down to domain specific models. On the other hand, MBSE has proven to be an important tool to match different team approaches and concerns, improving team communication using conceptual-wide and abstract symbols. Connecting abstract ModelicaML models to a simulation environment using Modelica led to a better understanding of systems behavior prior to realization and provided an analysis environment for early detection of project errors and operational failures.",1970
Applying Social Constructivism in Model-based Systems Engineering Online Instructional Module for Engineering Professionals,"This research-to-practice WIP (Work In Progress) presents the design and assessment of online Model-Based Systems Engineering (MBSE) modules for practicing engineers using social constructivism as a theoretical framework. Despite many advantages of MBSE, experts in this field are still scarce in the current engineering workforce. To address this need, an online module that will be deployed in the summer of 2020 targets practicing engineers as its learners to equip them with MBSE-related knowledge and skills. In industry, teams working on MBSE-related projects usually collaborate across multidisciplinary units. Therefore, social interaction plays an integral role in MBSE training programs. To understand how group interaction could foster learning in online engineering modules, we apply social constructivism as a theoretical framework to engage learners in meaningful interactions and facilitate the acquisition and application of knowledge. The modules will utilize deep-level, student-centered, small-group discussions, and peer review between student groups as forms of social learning in authentic engineering assignments. The assessment of the modules will focus on the effectiveness of social learning in promoting the mastery and application of content knowledge.",1970
Integrating Real-Time Modeling and Assessment into a MOOC Environment for Teaching Model-Based Systems Engineering,"We have designed, developed and deployed a unique edX massive open online course (MOOC) environment for teaching Model-Based Systems Engineering (MBSE) with Object-Process Methodology (OPM) ISO 19450. In this environment, OPCloud, an OPM cloud-based conceptual modeling environment, has been embedded in the edX environment. This has enabled us, as the course instructors, to teach MBSE with an industrial-strength tool that students can experience first-hand. Students received real-time feedback on their performance, along with guidance on what they missed and the option to resubmit. We describe the architecture of this combined MOOC-modeling environment and report on preliminary performance results.",1970
D-REQs: Determination of security & safety requirements in workshops based on the use of model-based systems engineering,"Cyber-physical systems, like autonomous vehicles, are intelligent and networked. The development of such systems requires cooperation between different stakeholders. A lack of system understanding can lead to unidentified (safety relevant) security requirements (SRSR) in early engineering. This can increase product development costs or compromise system safety compliance. Model-based systems engineering (MBSE) improves the system understanding by using models. Conducting workshops in the context of MBSE promotes interaction between stakeholders so that confusion regarding SRSR can be resolved already in the workshop. Using the models created, requirements can be derived in the workshop. However, established security & safety approaches are not specifically designed to be used in conjunction with MBSE and requirements engineering. In this paper, we present an extension of our previously developed SAVE approach. This extension supports a team of stakeholders in workshops to derive SRSR using MBSE. We illustrate our approach with an example from the automotive domain and present an initial field study of the application of our approach, based on a 2-month student project.",1970
Online Model-based Systems Engineering (MBSE) Bootcamp: A Report on Two Day Workforce Development Workshop,"Academia or workforce development workshops can both increase the plausibility of a streamlined transition from a document-centric approach to MBSE frameworks, and aid the integration of Model-Based Systems Engineering (MBSE) within the current industry and the challenges faced, introducing MBSE concepts, tools, and languages. This paper reports on an online model-based system engineering Bootcamp conducted in collaboration with The University of Texas Rio Grande Valley and The University of Texas at El Paso. The importance of MBSE is emphasized throughout the online Bootcamp to a diverse group of audience i.e., students, faculty, and industry professionals unfamiliar with systems engineering. A set of predefined questions through pre and post Bootcamp surveys aided in determining the perceptions of MBSE and the effectiveness of the Bootcamp in increasing the knowledge of MBSE amongst participants. A positive knowledge gain was observed on the importance of systems modeling and MBSE across students, faculty, and industry personnel participants indicating the effectiveness of the online Bootcamp. A set of open-ended questions were targeted specifically for industry professionals from manufacturing, aerospace, healthcare, transportation, and software domains attending the Bootcamp for capturing the perceived challenges and obstacles according to them for implementing Model-Based Systems Engineering in their organizations.",1970
A model-based systems engineering approach to capturing disaster management systems,"The purpose of this paper is to initiate the design of a framework for defining and capturing disaster management systems (DMS). Recognizing the management of disasters as complex adaptive systems (CAS), whose performance cannot be improved through the isolated optimization of their constituents, this paper proposes the adoption of model-based systems engineering (MBSE) to capturing the behavior of such systems, as well as the structure responsible for their behaviors. Using a domain-independent language such as the systems modeling language (SysML) to implement MBSE, the holistic approach proposed here effectively introduces a new paradigm in disaster management studies that is aimed at reducing the aforementioned complexity. By enforcing traceability between the DMS subsystems, and by leveraging artifacts such as viewpoints to develop perspectives that are tailored to specific stakeholders and users, it is anticipated that a MBSE-based holistic approach such as the one presented in this paper will promote proper use of the scientific method for the design, verification, validation and improvement of disaster management systems.",1970
Applying Model-Based Systems Engineering to the Development of a Test and Evaluation Tool for Unmanned Autonomous Systems,"In this paper, we apply the Model-Based Systems Engineering (MBSE) concepts and approaches to the early phases of the development of a Test & Evaluation (T&E) tool for Unmanned Autonomous Systems (UASs). This helps meet the design requirements and maintain traceability (of design requirements and decisions for satisfying stakeholder's needs). UAS development is driving toward increasing levels of autonomy for unmanned systems. The dynamic, non-deterministic behavior of intelligent autonomous systems presents the testers with a significant challenge. The ability to predict the behavior and evaluate performance of increasingly intelligent systems, especially those that employ vision-based behaviors, is seen as a critical T&E shortfall. To address this challenge, we propose, in this paper, to use a high-fidelity simulation environment. This can significantly aid in the evaluation of UAS behaviors and their perception mechanisms. Such a high-fidelity simulator enables the testes to safely conduct a wide variety of mission scenarios to test an autonomous system by providing truth data to compare with the UAS's perceptions. A major challenge here is to manage the system modeling complexity and maintain traceability of design decisions made at each level of the development to meet stakeholder's needs. In this paper, we follow MBSE methodology and use Systems Modeling Language (SysML - a domain-specific modeling language for systems engineering used to specify, analyze, design, optimize, and verify systems) to establish a systematic framework for designing a T&E tool for UASs and to transform stakeholder's needs into design requirements to maintain traceability.",1970
Attribute-oriented modeling — Another dimension for Model-Based Systems Engineering,"This paper presents a new approach to Model-Based Systems Engineering (MBSE) called “Attribute-Oriented Modeling.” This approach is used with a modeling language such as UML. The central concept of this approach is that model elements used in models of systems in a particular domain should be defined with a set of attributes that the system components to be modeled possess. The model of a system is created by specifying, for each component in the system, the values of the attributes that the model element that represents the component has.",1970
Software and Methodological Toolkit for the Design and Development of Technical Devices in the Model-Based Systems Engineering Paradigm,"Model-based systems engineering (MBSE) and its' tool the Systems Modelling Language (SysML) are recognized to serve as the fundament for design and development (D&D) of system models and digital twins. But the existing MBSE software (SW) tools based on SysML are complex and expensive. The paper raises the question: “Is it possible to make usage of MBSE software and methodological tools during space instruments design and development (SIDD) available to a wide audience of potential users?” To answer this question, for SIDD lifecycle phases (LPs) were developed methodological tools (MTs) based on improvements of such MBSE tools as Quality Function Deployment (QFD), House of Quality (HoQ); SysML, and their synthesis with systems engineering (SE) tools. MTs were implemented in the widely available SW tools. Proposed MTs allow to reduce time required for SysML requirements diagram development and update from several days to minutes; for LPs realization from 5 to 10%.",1970
Design Method of Radar Human-Computer Interaction Software Based on MBSE,"Aiming at the shortcomings of the traditional development mode of radar human-computer interaction (HCI) software in terms of design efficiency and design quality, through the study of model-based systems engineering (MBSE), a model-based radar HCI software development mode is proposed. Discusses the purpose and importance of introducing prototype design into MBSE, gives the method of encapsulating various interactive elements required in the process of prototype design into radar HCI domain model library to realize rapid reuse, and the method associated with MBSE's requirements management tool DOORS, and also gives the method of automatically generating code based on prototype, combined with examples, the process of integrating the model to construct a HCI virtual prototype is given. Practice has shown that the design method of radar HCI software based on MBSE can effectively improve the work efficiency and work quality of designers, and is of great significance to improving the professionalism, standardization and advancement of radar HCI design.",1970
Enabling Assurance in the MBSE Environment,"Model Based Engineering (MBE) is emerging in the aerospace sector as an important contributor to improved development from concept to production. Indeed, Model Based Systems Engineering (MBSE) is leading the way in moving from a document centric development process to the digitally enabled modeling environment. In NASA, selected major projects have moved forward with MSBE enabled development. Examples include NASA's Europa Clipper project led by the Jet Propulsion Laboratory (JPL) in which systems modeling effort has been at the forefront from the beginning, and NASA's Orion in which modeling has enabled more effective development of the guidance and navigation (GN&C) software [1, 4]. These examples are relevant as they define the state of the art in implementation of model based concepts.",1970
Model-Based Systems Engineering Using Structure-Behavior Coalescence Modeling Language,"The core matter of Model-Based Systems Engineering (MBSE) is a consistent modeling language that includes an abstract syntax called metamodel and a concrete syntax called user model. The MBSE modeling language used is to certify model consistency among various use model diagrams. Unfortunately, most current MBSE metamodels cannot project every individual concrete syntax diagram as a metamode view. This research proposes the Structure-Behavior Coalescence (SBC) modeling language, which uses the SBC Process Algebra (SBC-PA) as the MBSE metamodel and the SBC Architecture Description Language (SBC-ADL) as the MBSE user model. In the SBC modeling language, each diagram in SBC-ADL is projected as a view of SBC-PA. That is, when we conduct SBC modeling construction, the inconsistent problems of the MBSE model will be avoided entirely.",1970
A Model Based Systems Engineering Approach for Behavioral Responses to Advanced Quantitative Precipitation Information,"Atmospheric rivers (AR) contribute a significant portion of the precipitation for the United States’ west coast. Flooding events caused by ARs can create millions of dollars in damages. Identifying probable ARs and early warning of potential flooding events can provide state and local agencies the time to prepare for such events. The Bay Area Advanced Quantitative Precipitation Information (AQPI) system links users with varied meteorological data ranging from weather radar observations, short term forecasts (Nowcast), 12-hour forecasts, and coastal inundation modeling data. The range of data types presents an opportunity for proactive responses by the users; however, it also presents the challenge of ensuring the correct data is available to the appropriate user. Through Model Based Systems Engineering (MBSE) Behavioral Analysis, the AQPI team analyzes the appropriate requirements for each of the different types of AQPI users. MBSE behavioral analysis leads to the development of a system that services the broad user community’s needs while giving each user group a specific interface tailored for them. This engineering approach also allows for the separation of the processing and weather model execution from the user interface. This separation allows for development and advancements in processing without being tied to the user interfaces.",1970
Identifying the Thematic Trends of Model Based Systems Engineering in Manufacturing and Production Engineering Domains,"Manufacturing and production systems have become increasingly complex in the past decade to meet the competitive demand in a growing industry. As these systems grow in complexity and flexibility, there is a need for efficient management and analysis of these systems. Model-based systems engineering (MBSE) addresses the complexity inherent with systems development with a model-centric approach that supported tailored modeling languages, methods and tools. This paper identifies the thematic evolution and trends and relationships found in the use and application of MBSE specifically in the manufacturing and production engineering domain. A collection of 471 published article from Institute of Electrical and Electronics Engineers (IEEE) and Science Direct over the past decade were used for the analysis using text mining techniques. Due to the limitation on the access to full text information of all the articles identified, only abstracts were considered for analysis. This effort helps the researchers across the domain to explore the reason behind and understand the change of the thematic perspectives of MBSE application over the last decade. In addition, the finding of the growing interest in addressing the aspects of complexity and systems requirements, and on the aspects of the use of MBSE for identifying and addressing the challenges related to Cyber Physical Systems help in paving a path for future research.",1970
Model based systems engineering high level design of a sustainable electric vehicle charging and swapping station using discrete event simulation,"In line with the spate of technological advances, the transportation industry has also witnessed an increase in the adoption of Electric Vehicles (E.Vs). However, there has been and are still some underlying negating factors to the wide spread acceptance of these electric vehicles; one of note is the unavailability and inaccessibility of adequate charging infrastructure, long charging times, limited driving ranges, costs of the vehicles etc. These and many more characteristics lead to a trend popularly known as ""range anxiety"". One of the major strengths of electric vehicles are their ability to be powered by electric energy via stored chemical energy in rechargeable batteries. Some electric vehicles run solely on batteries (Battery Electric Vehicle - BEVs), while others are a hybrid of the electric vehicles and the internal combustion engines (Plug-in Hybrid Electric Vehicles - PHEVs, and Hybrid Electric Vehicles - HEVs). However, since these electric vehicles lean towards reducing atmospheric pollution (Carbon monoxide, hydrocarbons etc.) caused by internal combustion engines, it also follows that the means of recharging these electric vehicles should also be geared towards reducing pollution to some degree. Hence, the concept of renewable energy sources powered recharging stations. However, before a lot of resources are committed into building such an infrastructure, a model should be developed which will take into account certain key factors such as storage capacity, type and size of the renewable sources, facility layout, policies and other identified stakeholders requirements which are evaluated and used in trade-off and decision analysis. However, the status-quo involves around a document-centric methodology of system development. This methodology carries with it challenging characteristics such as poor communication of data between and within interested parties, inability to contain complexities inherent in today's projects, stored data becoming prone to damage as a result of storage or usage and sometimes, inaccessibility of data. In line with current systems engineering practice, we propose a model-centric approach of the system development life-cycle, which will negate some of the drawbacks of the document-centric approach. In this work, a two-level approach is proposed: First, the model based systems engineering (MBSE) framework approach is implemented utilizing the systems modeling language (SysML) to formulate and show different views and architecture of the system in question. The objectives of this MBSE approach in addition to offering different views of the model are also to aid in real-time communication and collaboration of designs which links to understanding change configurations and impact, requirements verification, and traceability. In the second approach, a discrete-event simulation (Arena) tool is used as the reference simulation optimization tool for the model's architectural analysis. The discrete-event simulation (DES) models a hypothetical renewable-energy powered charging and swapping station with the objective of maximizing the electric vehicle's throughput (amount of EVs successfully recharging and swapping batteries in the facility). Certain constraints such as the allowable area for the solar panels, operating budget, amount of energy to purchase from the main grid etc., are included to account for a realistic adaptation of the facility, which is in line with the concept of the renewable energy sources powered recharging stations previously mentioned. Statistical analysis are performed on the optimized architectures to evaluate and compare the design configurations based on the stakeholder's requirements. The optimized parameters are then used to verify and validate the requirements. These categorization of events support the application of MBSE and simulation to the early stages of the system life cycle development of the high level design of an electric vehicle charging and swapping station.",1970
A Model-based Systems Engineering Methodology for Aircraft Air-ground Status Management,"A modern civil aircraft is a mega system that includes complicated sub-systems with intricate wire connections and signal exchanges. Air-ground status as a crucial operating parameter for various on-board systems is long discovered to have lacked consistency and incurred a series of coordination problems. In aviation industry, Model-Based Systems Engineering (MBSE) method has been extensively applied so as to manage comprehensive projects, but little research has targeted on using MBSE to improve air-ground status management. This article introduces air-ground status concept, provides air-ground signal design guidelines and proposes a novel MBSE air-ground status management method. Using SysML, the approach is capable of depicting signal propagation and system composition, setting up a universal standard for system designers to follow, rendering easy access to error tracing and problem solving and spurring reliability and stability of signal related aircraft architecture design.",1970
Enabling design of agile security in the IOT with MBSE,"Design for system security within the IOT is a critical issue for Systems Engineering. The threat is agile and always evolving. One promising approach is the application of agile systems architecture to the design of system security. However, to be successful, systems engineers and security engineers will require a design process and framework that supports the definition of a system combining both resilience and continuous evolution of security capability. This paper presents an overview of the agile systems architecture, along with an approach to model and describe the specific elements of the agile architecture through application of model-based systems engineering and use of enterprise architecture frameworks to address features of the architecture that reside in both the design time and operating time domains.",1970
A Bibliometric Analysis on Model-based Systems Engineering,"Model-based systems engineering (MBSE) has been accepted as an extremely important approach to understanding the multi-domain research field comprehensively. In this paper, a bibliometric analysis is used to conduct a comprehensive survey of model-based systems engineering literature of the last five years. The VOSViewer is used to implement visual network analysis for co-authorship, citation, and co-occurrence of the MBSE related papers. The results of the bibliometric study, firstly, reveal the influential research teams and sources. Secondly, research hotspots in the current MBSE domain are identified. The findings of this study aim to help researchers to gain a faster and deeper understanding of the current literature on MBSE.",1970
Cabin pressurization control system design of civil aircraft by model based systems engineering,"This paper introduces the application of model based systems engineering (MBSE) method in designing cabin pressurization control system (PCS) for civil aircraft. Rhapsody and Simulink are used as the design and simulation tools. Use cases, functions flow, and state-machines of the system are built by corresponding models in three MBSE design phases, i.e. requirements analysis, function analysis and design synthesis. System models are verified by SysML and Simulink collaborative simulation.",1970
Civil Aircraft Auto Brake System Development Using Model-Based Systems Engineering,"Civil aircraft auto brake system development based on Model-Based Systems Engineering(MBSE) technology is proposed in this paper. After requirements analysis, functional analysis and architecture synthesis three phases, use case model, function analysis model, tradeoff model and logical architecture of system are established in Rhapsody using Systems Modeling Language(SysML). Then a collaborative simulation mechanism combining Rhapsody/Simulink model is proposed to solve the defect that SysML can’t describe the continuous behavior of system. Collaborative simulation enables system designers to carry out comprehensive and timely verification of dynamic behavior and correctness of modeling by simulating the overall composition which greatly improves the efficiency and accuracy of development.",1970
Model-Based Systems Engineering for Aircraft Design With Dynamic Landing Constraints Using Object-Process Methodology,"We present a model-based systems engineering (MBSE) framework using object-process methodology (OPM, ISO 19450) for civil transport aircraft design with dynamic landing constraints. The framework integrates the aircraft system development life cycle processes into a holistic MBSE model, incorporating into it the specific aircraft dynamic loads model-based design (MBD) domain. Using this framework, we also perform model-based requirements analysis, validation, and verification. The model parameter set is governed by a unified format used for both the MBSE and MBD domains. The resulting model enables aircraft design processes to start being formalized at the early conceptual design stage and carry on to detailed design, adding value to system lifecycle processes by integrating and streamlining the MBSE and MBD domains into a more holistic framework with seamless transition between these two major stages.",1970
Finite Degradation Structures: a Formal Framework to Support the Interface between MBSE and MBSA,"In this article, we propose to use finite degradation structures to support the interface between model-based systems engineering (MBSE) and model-based safety assessment (MBSA). Finite degradation structures are an algebraic framework, recently introduced by the authors, that captures the essential notion of degradation order between the states of a system. They make it possible to describe in a formal way under which conditions a safety model is an abstraction of another one. For this reason, they provide the mathematical ground on which methods to synchronize models designed by systems architects and those designed by safety analysts can be built. We illustrate the proposed approach by means of an example stemmed from industrial practice.",1970
LITHE: An Agile Methodology for Human-Centric Model-Based Systems Engineering,"This paper proposes an agile model-based systems engineering (SE) methodology (LITHE methodology) to engineer the contemporary large, complex, and interdisciplinary systems of systems. The methodology relates the processes, the methods, and the tools in order to support an effective model-based development context. The LITHE uses a universal and intuitive SE base process, reducing the complexity and intricacy of the base methods, emphasizing the agile principles such as continuous communication, feedback and stakeholders' involvement, short iterations, and rapid response, and rousing the utilization of a coherent system model developed through the benchmark systems graphical modeling languages. Aiming to support the development of successful systems, which satisfy the stakeholders' expectations, the methodology is particularly concerned with human systems integration, so the related fundamental aspects are considered throughout the engineering process. The LITHE methodology also includes a supporting graphical tool that aims to be an agile instrument to be used by systems engineers in a model-based development environment. To illustrate the effectiveness of the proposed methodology and to provide some validation, an empirical case study related with the development of a real large and complex system (the Guiding Urban Intelligent Traffic and Environment system) is also described.",1970
A Model-Based Systems Engineering Approach for the Efficient Specification of Test Rig Architectures for Flight Control Computers,"The validation, verification, and integration of flight control computers (FCC) for today's increasingly complex flight control systems are generally on the critical path in aircraft development programs. Therefore, the test rig for the FCC, being a complex system itself, needs to be developed in a very short timeframe, starting the specification with many uncertainties about the system under test. This article presents a model-based system engineering (MBSE) methodology for the efficient specification of test rigs for FCCs. A systematic analysis of the prevailing common elements and variability in test rigs is presented. This analysis translates into a generic and reusable specification framework allowing the efficient and effective specification of new test rigs. The proposed MBSE approach covers operational and functional needs analysis and generic logical and physical architecture modeling at two levels of detail. A variant management capability is implemented to manage the different types and configurations of test rigs. This article closes a gap in the literature about test rig specification for modern FCC and contributes to the maturation of MBSE approaches and their practical implementation in the industry context.",1970
Bioanalytical Device Design With Model-Based Systems Engineering Tools,"Development of bioanalytical devices requires a multidisciplinary team working together. In the current article, the model-based systems engineering (MBSE) methodology is applied for the design of a bioanalytical device, in order to create a unique system model with consistency of model elements and relations. This allows a multidisciplinary team to work together in order to define and develop the overall system, from bio/chemical processes to software, hardware, and mechanics; for example, scientists may express bio/chemical events in the system model in a way that the design engineers understand the process and requirements, learn the constraints, and develop the system accordingly. In the article, a tailored version of the object-oriented systems engineering method modeling method was used together with systems modeling language. The major steps of the modeling method utilized include define problem, define context level, define technical requirements, define logical level, and define physical level. The modeling method developed for the article may be used as a base for the development of bioanalytical devices. There is a market push to develop new bioanalytical devices, such as point of care sensors. It is believed that the transformation of the product lifecycle process from document centric to MBSE will provide a competitive advantage to the life sciences industry.",1970
Design Ontology Supporting Model-Based Systems Engineering Formalisms,"Model-based systems engineering (MBSE) provides an important capability for managing the complexities of system development. MBSE empowers the formalism of system architectures for supporting model-based requirement elicitation, specification, design, development, testing, fielding, etc. However, the modeling languages and techniques are heterogeneous, even within the same enterprise system, which leads to difficulties for data interoperability. The discrepancies among data structures and language syntaxes make information exchange among MBSE models more difficult, resulting in considerable information deviations when connecting data flows across the enterprise. Therefore, this article presents an ontology based upon graphs, objects, points, properties, roles, and relationships with extensions (GOPPRRE), providing metamodels that support the various MBSE formalisms across lifecycle stages. In particular, knowledge graph models are developed to support unified model representations to further implement ontological data integration based on GOPPRRE throughout the entire lifecycle. The applicability of the MBSE formalism is verified using quantitative and qualitative approaches. Moreover, the GOPPRRE ontologies are used to create the MBSE formalisms in a domain-specific modeling tool, MetaGraph, for evaluating its availability. The results demonstrate that the proposed ontology supports the formal structures and descriptive logic of the systems engineering lifecycle.",1970
Potentials of Design Thinking for knowledge transfer of Model-Based Systems Engineering,"Industrial products are becoming increasingly complex due to the use and development of mechatronic systems. This increasing complexity is addressed by virtual representations of the systems in the form of interdisciplinary models. Model-Based Systems Engineering (MBSE) supports product development from the early development phase through validation, verification and integration up to later life cycle phases of the product by means of system modeling.Typical drivers for innovations in the industrial environment are business viability, technology driven feasibility and human driven desirability. While business viability and feasibility are considered in most product development processes and innovation driven projects, the human factor is often neglected in this context. This is addressed by a MBSE Capability and Maturation Matrix (CMM), which consists of capabilities for the acquisition and mastering of the MBSE competencies. The authors have considered Design Thinking as a feasible approach to transfer MBSE knowledge and thus support this acquisition MBSE competencies. This publication shall present the first findings on the application of Design Thinking for the creation of a user-centered MBSE introduction event. This event shall be used in further iterative steps to teach non-experts in the MBSE field the required competencies for their work and thus support the CMM development capability.",1970
A Cross-disciplinary Model-Based Systems Engineering Workflow of Automated Production Systems Leveraging Socio-technical Aspects,"With the increasing integration of multiple disciplines, Model-Based Systems Engineering (MBSE) has become more beneficial for the development of automated production systems. However, even though discipline- specific models can be connected via a system model, how to apply MBSE in a cross-disciplinary context in the industry remains challenging due to complex organization, inefficient communication and limited knowledge of the staff. In this paper, a workflow of automated production system development combining MBSE, sociology and team collaboration is proposed and leveraged against the traditional workflow. BPMN+I is applied for modeling cross-disciplinary collaborations and assessing team and organizational factors.",1970
Applying Model-Based Systems Engineering for Product Engineering Management concepts for industrial application,"Model-Based Systems Engineering (MBSE) is regarded as the key to face the challenges of tomorrow's product engineering. Core of the MBSE is the so called system model, enabling a consistent specification of the product from different points of view. Nevertheless, we fear that the MBSE vision of INCOSE is not realistically achievable: There is much focus on the technical issues of MBSE, e.g. automatic code generation. But classical Systems Engineering (SE) issues and concerns driven by stakeholders as product managers or project management closely working together with the systems engineer are neglected. This is critical, as SE is a holistic approach, the mentioned stakeholders definitely gain benefits of the MBSE and they furthermore have the possibility to accelerate MBSE introduction due to budget concerns. Thus, there is a critical need to connect SE activities to the MBSE domain providing more acceptance to the approach. We present a concept to integrate SE and MBSE and exemplarily connect a stakeholder analysis as presentative method for SE and product management issues to the system model. The foundation for this approach is the comprehension of the distinction of model and view, e.g. proposed by ISO/IEC 42010.",1970
An MBSE Framework to Identify Regulatory Gaps for Electrified Transport Aircraft,"A typical aircraft certification process consists of obtaining a type, production, airworthiness, and continued airworthiness certificates. During this process, a type certification plan is created that includes the intended regulatory operating environment, the proposed certification basis, means of compliance, and a list of documentation to show compliance. Earlier work by the authors demonstrated a model-based framework for the management of these certification artifacts for normal category airplanes. Presently, it is expanded and adapted to consider certification for transport category airplanes regulated under 14 CFR Part 25, providing clear transparency and traceability between the text of the regulations and imposed requirements, contextual information, and specified test activities. In particular, a capability to identify potential gaps in the applicability of regulations for novel architectures such as electrified aircraft is proposed. This capability, based on mismatches between the functional intent and the corresponding prescribed physical implementation, is developed. A sample implementation of the proposed capability is presented for a notional electrified powertrain aircraft architecture.",1970
Integrated model-based systems engineering (MBSE) applied to the Simulation of a CubeSat mission,"Small satellite missions are becoming increasingly complex as scientists and engineers propose to utilize them to accomplish more ambitious science and technology goals. Small satellites such as CubeSats are challenging to design because they have limited resources, coupled subsystems, and must operate in dynamic environments. Model Based Systems Engineering (MBSE) is a key practice to advance systems engineering that can benefit CubeSat missions. MBSE creates a system model that helps integrate other discipline specific engineering models and simulations. The system level model is initiated at the start of a project and evolves throughout development. It provides a cohesive and consistent source of system requirements, design, analysis, and verification. This paper describes an integrated, executable MBSE representation of the Radio Aurora Explorer (RAX) CubeSat mission. The purpose of the RAX mission is to study the formation of magnetic field-aligned electron density irregularities in the Earth's ionosphere, which are known to disrupt tracking and communication between Earth and orbiting spacecraft. The RAX CubeSat model describes the configuration and properties for various systems and subsystems, and is capable of executing behavior and parametric models for analyzing subsystem functions and states of the spacecraft. It is comprised of a SysML model created with MagicDraw®, a set of analytical models developed in MATLAB®, and a high fidelity space system simulation model created in STK®. ModelCenter was used to integrate the analytical and simulation models. The integrated analyses were linked to the SysML model using MBSE Analyzer, a bridge between SysML tools and ModelCenter. Behavioral models were executed for a representative RAX mission to study energy state and data collection capabilities. This work was undertaken to demonstrate the power, scalability, and utility of MBSE tools and methods that are available to help meet the challenge of designing spacecraft missions of ever-increasing complexity. The RAX CubeSat model will be made available to the academic community for further study and potential extension for more complex missions.",1970
